cod,mpio_name,Municipio,UA_CLASE,U_SECT_RUR,U_SECC_RUR,UA2_CPOB,U_SECT_URB,U_SECC_URB,U_MZA,No. edificaciones,TPER,THOG,THOM,TMUJ,T00,T05,T10,T15,T20,T25,T30,T35,T40,T45,T50,T55,T60,T65,T70,T75,T80,T85,T90,T95,T100,ADO|EU/LWAL+DNO/H:1,"ADO|EU/LWAL+DNO/H:1,2",CR+PC/LWAL+DUL/H:1,"CR+PC/LWAL+DUL/H:1,2",CR/LINF+DNO/H:3,CR/LINF+DNO/H:4,CR/LINF+DNO/H:5,"CR/LINF+DNO/H:6,10",CR/LINF+DUL/H:3,CR/LINF+DUL/H:4,CR/LINF+DUL/H:5,"CR/LINF+DUL/H:6,10",CR/LWAL+DUL/H:1,CR/LWAL+DUL/H:2,MATO/LN,MCF/LWAL+DNO/H:1,MCF/LWAL+DNO/H:2,MCF/LWAL+DNO/H:3,MCF/LWAL+DUL/H:1,MCF/LWAL+DUL/H:2,MCF/LWAL+DUL/H:3,MR/LWAL+DUL/H:2,MR/LWAL+DUL/H:3,MR/LWAL+DUL/H:4,MR/LWAL+DUL/H:5,MR/LWAL+DUL/H:6,MUR+ST/LWAL+DNO/H:1,MUR+ST/LWAL+DNO/H:2,MUR/LWAL+DNO/H:1,MUR/LWAL+DNO/H:2,MUR/LWAL+DNO/H:3,UNK,W+WO/LN+DNO/H:1,"W+WO/LN+DNO/H:1,2"
68745,Simacota,745,1,0,0,0,1,1,4,17,57,18,26,31,3,6,9,6,3,4,4,5,4,5,0,3,1,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,10,3,0,3,0,0
68745,Simacota,745,1,0,0,0,1,1,5,21,52,20,24,28,2,5,2,1,3,5,8,3,5,1,2,8,6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,10,4,0,5,0,0
68745,Simacota,745,1,0,0,0,1,1,6,15,52,18,25,27,3,5,4,6,2,5,4,2,3,6,4,3,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,1,0,0
68745,Simacota,745,1,0,0,0,1,1,7,4,10,4,3,7,0,2,2,0,0,0,1,0,0,1,0,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
68745,Simacota,745,1,0,0,0,1,2,1,14,32,12,19,13,0,3,4,3,2,2,1,3,4,3,1,2,0,2,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0
68745,Simacota,745,1,0,0,0,1,2,2,19,68,21,33,35,3,7,6,3,4,7,5,7,3,3,3,3,4,4,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,4,0,0
68745,Simacota,745,1,0,0,0,1,2,3,13,33,13,15,18,2,2,1,0,5,2,4,8,0,2,1,3,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,1,0
68745,Simacota,745,1,0,0,0,1,2,4,15,47,15,24,23,3,2,4,5,2,2,4,4,4,4,5,2,0,3,1,1,1,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,0,0
68745,Simacota,745,1,0,0,0,1,2,5,20,74,27,37,37,2,6,6,4,9,6,3,8,3,9,5,1,3,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,1,0,0
68745,Simacota,745,1,0,0,0,1,2,6,11,23,10,13,10,0,1,1,1,2,1,0,0,0,2,2,2,4,2,2,1,1,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,2,0,0
68745,Simacota,745,1,0,0,0,1,2,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68745,Simacota,745,1,0,0,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68745,Simacota,745,1,0,0,0,1,3,2,10,48,13,20,28,2,6,3,4,1,4,5,2,2,2,4,1,4,1,3,4,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
68745,Simacota,745,1,0,0,0,1,3,3,23,86,29,49,37,7,5,5,6,9,8,7,6,3,4,6,4,7,4,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,14,6,0,2,0,0
68745,Simacota,745,1,0,0,0,1,3,4,13,39,14,21,18,2,1,0,3,2,2,1,1,4,4,5,1,6,2,1,3,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0
68745,Simacota,745,1,0,0,0,1,3,5,16,63,21,32,31,3,4,3,10,5,1,3,1,5,6,4,4,3,2,4,2,2,1,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
68745,Simacota,745,1,0,0,0,1,3,6,26,59,20,24,35,1,2,4,5,2,5,3,4,1,3,7,7,5,2,2,2,3,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,0
68745,Simacota,745,1,0,0,0,1,3,7,18,47,20,17,30,3,5,3,5,3,2,1,3,6,2,4,0,0,3,4,1,2,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,2,0,0
68745,Simacota,745,1,0,0,0,1,3,8,34,114,41,56,58,6,10,13,7,8,6,16,7,6,8,4,8,4,1,0,3,6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,20,9,0,2,0,0
68745,Simacota,745,1,0,0,0,1,3,10,14,63,18,28,35,3,3,4,7,3,8,4,4,3,2,9,5,2,0,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,0,0,0
68745,Simacota,745,1,0,0,0,1,4,1,8,27,7,11,16,3,3,2,2,2,3,1,2,3,2,1,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,1,0,0
68745,Simacota,745,1,0,0,0,1,4,3,4,8,4,3,5,0,1,0,0,0,0,0,1,1,2,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0
68745,Simacota,745,1,0,0,0,1,4,4,17,51,18,23,28,4,5,6,2,4,5,5,5,2,5,0,3,1,1,2,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,3,0,0
68745,Simacota,745,1,0,0,0,1,4,5,24,65,23,30,35,3,4,4,1,2,4,5,4,2,6,3,5,4,8,3,1,3,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,13,5,0,4,0,0
68745,Simacota,745,1,0,0,0,1,4,6,16,34,15,20,14,1,1,3,4,6,0,4,0,4,1,2,1,1,2,2,0,2,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,2,0,0
68745,Simacota,745,1,0,0,0,1,4,7,20,61,26,25,36,3,2,5,2,11,4,4,2,3,1,6,4,7,2,1,2,0,1,1,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,4,0,0
68745,Simacota,745,1,0,0,0,1,4,8,25,56,26,27,29,1,4,3,0,2,7,6,3,2,4,3,7,3,5,2,3,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,4,0,2,0,0
68745,Simacota,745,1,0,0,0,1,4,9,8,26,10,10,16,1,2,2,4,0,3,1,1,3,2,2,3,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,0,0,0
68745,Simacota,745,1,0,0,0,2,1,1,20,43,18,22,21,2,3,6,2,3,2,5,4,4,1,4,0,2,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,11,4,0,4,0,0
68745,Simacota,745,1,0,0,0,2,1,2,7,21,9,10,11,2,1,1,1,2,2,0,2,1,1,3,0,1,2,0,0,1,1,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0
68745,Simacota,745,1,0,0,0,2,1,3,12,68,23,29,39,7,4,9,1,4,7,3,1,11,1,4,1,2,3,3,4,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0
68745,Simacota,745,1,0,0,0,2,1,4,21,49,19,27,22,2,1,2,4,2,2,5,1,1,4,7,4,2,6,1,0,1,3,1,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,3,0,0
68745,Simacota,745,1,0,0,0,2,1,6,19,70,26,33,37,4,2,2,8,7,6,2,6,7,5,3,4,5,3,0,2,1,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,9,4,0,2,0,0
68745,Simacota,745,1,0,0,0,2,1,7,16,62,19,31,31,3,7,6,6,2,2,4,4,6,6,1,2,5,5,1,0,1,1,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,1,0,0
68745,Simacota,745,1,0,0,0,2,1,8,6,9,4,4,5,0,1,1,0,1,0,0,1,0,0,0,4,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0
68745,Simacota,745,1,0,0,0,2,1,10,6,12,5,7,5,1,1,1,0,0,0,1,0,0,1,1,1,1,1,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0
68745,Simacota,745,1,0,0,0,2,1,11,7,13,5,4,9,1,1,0,2,1,0,0,1,1,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,2,0,0
68745,Simacota,745,1,0,0,0,2,2,1,6,16,6,4,12,1,1,2,0,2,1,1,0,1,1,0,1,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,1,0,0
68745,Simacota,745,1,0,0,0,2,2,2,2,20,7,11,9,0,3,0,0,1,1,2,1,2,1,1,2,1,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
68745,Simacota,745,1,0,0,0,2,2,3,11,33,11,15,18,0,4,2,7,0,3,0,2,3,3,1,2,3,1,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,2,0,2,0,0
68745,Simacota,745,1,0,0,0,2,2,4,12,29,10,16,13,1,5,1,2,3,1,3,1,0,2,0,4,1,1,1,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,2,0,2,0,0
68745,Simacota,745,1,0,0,0,2,2,5,4,11,5,5,6,0,1,0,0,1,1,0,0,0,1,1,0,1,1,0,1,2,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
68745,Simacota,745,1,0,0,0,2,2,6,13,51,15,16,35,4,3,3,5,2,2,4,1,2,2,5,6,2,6,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
68745,Simacota,745,1,0,0,0,2,2,8,15,52,16,30,22,3,4,4,2,6,3,2,4,4,3,3,2,2,2,2,4,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8,3,0,2,0,0
68745,Simacota,745,1,0,0,0,2,2,10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
68745,Simacota,745,1,0,0,0,2,3,1,8,32,10,15,17,1,2,0,4,5,3,0,2,1,3,3,3,0,0,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0
68745,Simacota,745,1,0,0,0,2,3,5,5,9,6,6,3,0,1,0,0,0,1,1,1,0,2,0,0,2,0,0,1,0,0,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
68745,Simacota,745,1,0,0,0,2,3,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
