Cod,Departamento,Edificaciones C. Municipal,Edificaciones C. Poblado,Edificaciones Rural Disperso y Resto,Personas C. Municipal,Personas C. Poblado,Personas Rural Disperso y Resto,Total edificaciones,Total personas,Población urbana,Edificaciones urbanas
5001,5,223527,5199,928,2319057,19983,19520,229654,2358560,2339040,228726
5002,5,2395,135,132,6923,437,10202,2662,17562,7360,2530
5004,5,278,27,74,706,90,1343,379,2139,796,305
5021,5,660,0,46,2201,0,1624,706,3825,2201,660
5030,5,2613,2411,144,12938,8082,5655,5168,26675,21020,5024
5031,5,3541,53,377,11538,212,8026,3971,19776,11750,3594
5034,5,2863,936,150,18095,3426,15349,3949,36870,21521,3799
5036,5,564,340,65,1962,975,2073,969,5010,2937,904
5038,5,735,124,137,2369,393,7731,996,10493,2762,859
5040,5,1708,159,446,7031,596,6822,2313,14449,7627,1867
5042,5,4393,169,212,15261,698,6984,4774,22943,15959,4562
5044,5,352,265,132,1180,802,4400,749,6382,1982,617
5045,5,18332,3159,322,91683,13370,6959,21813,112012,105053,21491
5051,5,2524,796,744,9609,2514,14139,4064,26262,12123,3320
5055,5,762,0,53,2973,0,3752,815,6725,2973,762
5059,5,411,104,50,1359,264,2194,565,3817,1623,515
5079,5,2038,573,219,21465,5506,17636,2830,44607,26971,2611
5086,5,513,96,67,1602,266,3481,676,5349,1868,609
5088,5,55933,2229,439,456677,12296,8449,58601,477422,468973,58162
5091,5,551,14,55,3400,94,5094,620,8588,3494,565
5093,5,1009,336,134,4163,990,9909,1479,15062,5153,1345
5101,5,3000,513,203,14484,1469,7093,3716,23046,15953,3513
5107,5,576,132,139,2444,329,3157,847,5930,2773,708
5113,5,440,146,150,2033,544,4789,736,7366,2577,586
5120,5,1503,3247,925,5244,12097,8760,5675,26101,17341,4750
5125,5,474,0,56,1507,0,5507,530,7014,1507,474
5129,5,7254,2154,230,61426,10044,4479,9638,75949,71470,9408
5134,5,565,162,87,2334,490,4572,814,7396,2824,727
5138,5,872,347,355,4729,968,7825,1574,13522,5697,1219
5142,5,536,0,69,2430,0,1523,605,3953,2430,536
5145,5,755,91,15,1941,279,2044,861,4264,2220,846
5147,5,8349,1810,458,31604,6623,7037,10617,45264,38227,10159
5148,5,6044,384,207,32881,1419,19305,6635,53605,34300,6428
5150,5,1059,0,13,2618,0,700,1072,3318,2618,1059
5154,5,17935,1339,406,74013,5309,4810,19680,84132,79322,19274
5172,5,12034,384,508,46533,1243,6240,12926,54016,47776,12418
5190,5,1461,0,38,7688,0,1203,1499,8891,7688,1461
5197,5,1875,172,113,5916,499,8270,2160,14685,6415,2047
5206,5,722,0,44,1752,0,2148,766,3900,1752,722
5209,5,1709,237,91,6804,688,8566,2037,16058,7492,1946
5212,5,7815,212,145,62011,968,13005,8172,75984,62979,8027
5234,5,2433,180,385,8831,696,9536,2998,19063,9527,2613
5237,5,1727,144,37,11025,268,2865,1908,14158,11293,1871
5240,5,624,267,62,1816,1238,7234,953,10288,3054,891
5250,5,8775,2873,826,29419,9505,8344,12474,47268,38924,11648
5264,5,1004,0,60,5088,0,3688,1064,8776,5088,1004
5266,5,17993,519,154,201845,1731,7947,18666,211523,203576,18512
5282,5,1788,328,108,7681,1106,9947,2224,18734,8787,2116
5284,5,2387,413,216,8010,1426,7269,3016,16705,9436,2800
5306,5,178,28,39,1850,273,2932,245,5055,2123,206
5308,5,2365,926,145,27882,6540,13848,3436,48270,34422,3291
5310,5,1475,208,155,4239,539,3433,1838,8211,4778,1683
5313,5,794,103,49,5229,180,3679,946,9088,5409,897
5315,5,601,79,73,2124,379,2932,753,5435,2503,680
5318,5,2820,263,201,17346,972,23695,3284,42013,18318,3083
5321,5,1231,196,28,5207,452,1333,1455,6992,5659,1427
5347,5,791,325,60,2078,671,1953,1176,4702,2749,1116
5353,5,695,0,21,3303,0,1647,716,4950,3303,695
5360,5,27322,3036,57,234847,22498,4130,30415,261475,257345,30358
5361,5,1852,756,347,6502,1945,9951,2955,18398,8447,2608
5364,5,1987,85,200,7064,346,6025,2272,13435,7410,2072
5368,5,1799,54,55,6814,247,3984,1908,11045,7061,1853
5376,5,10340,338,227,51345,1179,6248,10905,58772,52524,10678
5380,5,8259,768,142,57441,3289,6251,9169,66981,60730,9027
5390,5,1634,74,33,7046,421,497,1741,7964,7467,1708
5400,5,2436,228,58,12550,716,7465,2722,20731,13266,2664
5411,5,732,816,126,2207,1813,3872,1674,7892,4020,1548
5425,5,805,180,82,2968,987,3323,1067,7278,3955,985
5440,5,5773,0,68,40810,0,14401,5841,55211,40810,5773
5467,5,480,79,32,1649,171,4061,591,5881,1820,559
5475,5,437,106,141,1553,647,870,684,3070,2200,543
5480,5,1544,939,487,4936,2528,3574,2970,11038,7464,2483
5483,5,729,216,152,2741,591,5267,1097,8599,3332,945
5490,5,2663,3250,956,9936,10487,17109,6869,37532,20423,5913
5495,5,2793,977,488,12960,4097,6743,4258,23800,17057,3770
5501,5,78,365,122,185,929,1605,565,2719,1114,443
5541,5,2522,0,92,10998,0,6989,2614,17987,10998,2522
5543,5,605,156,130,2080,414,4644,891,7138,2494,761
5576,5,1135,0,25,3803,0,3374,1160,7177,3803,1135
5579,5,7641,785,299,30987,2087,2692,8725,35766,33074,8426
5585,5,1467,2128,204,3859,5998,2264,3799,12121,9857,3595
5591,5,889,2897,169,2831,10380,2243,3955,15454,13211,3786
5604,5,2855,1494,699,11105,4125,7221,5048,22451,15230,4349
5607,5,2342,191,216,12168,984,7413,2749,20565,13152,2533
5615,5,14397,971,408,77168,6131,31474,15776,114773,83299,15368
5628,5,688,216,116,2853,784,4170,1020,7807,3637,904
5631,5,5321,1282,71,69953,7914,3730,6674,81597,77867,6603
5642,5,1261,228,108,5809,1592,8301,1597,15702,7401,1489
5647,5,891,0,65,2681,0,3599,956,6280,2681,891
5649,5,1618,344,196,7017,1483,5860,2158,14360,8500,1962
5652,5,836,376,143,2424,550,2248,1355,5222,2974,1212
5656,5,2170,0,105,6494,0,6621,2275,13115,6494,2170
5658,5,611,0,14,2111,0,820,625,2931,2111,611
5659,5,2064,828,197,6624,2710,10641,3089,19975,9334,2892
5660,5,1612,207,102,6613,680,3802,1921,11095,7293,1819
5664,5,1772,76,101,10476,216,6324,1949,17016,10692,1848
5665,5,3757,221,284,11993,975,16888,4262,29856,12968,3978
5667,5,1891,11,186,7202,5,5344,2088,12551,7207,1902
5670,5,1528,1313,434,6127,3575,8022,3275,17724,9702,2841
5674,5,669,29,59,5297,55,12632,757,17984,5352,698
5679,5,1894,720,59,10166,2271,9380,2673,21817,12437,2614
5686,5,1901,635,249,16423,1152,12767,2785,30342,17575,2536
5690,5,905,635,144,2397,2056,5049,1684,9502,4453,1540
5697,5,3284,0,18,23204,0,7036,3302,30240,23204,3284
5736,5,6509,832,1150,27176,2155,3925,8491,33256,29331,7341
5756,5,4336,1336,427,15719,4040,11825,6099,31584,19759,5672
5761,5,1880,317,194,6425,656,6606,2391,13687,7081,2197
5789,5,1875,529,110,6703,1580,6526,2514,14809,8283,2404
5790,5,3996,1856,321,12491,6885,3318,6173,22694,19376,5852
5792,5,415,51,32,3222,253,2159,498,5634,3475,466
5809,5,940,403,69,3916,974,3289,1412,8179,4890,1343
5819,5,512,103,82,1687,313,2913,697,4913,2000,615
5837,5,12425,11969,598,45402,46176,21852,24992,113430,91578,24394
5842,5,443,68,127,1979,277,4204,638,6460,2256,511
5847,5,4261,82,419,15357,174,12021,4762,27552,15531,4343
5854,5,744,208,91,3198,1743,6564,1043,11505,4941,952
5856,5,1152,0,17,3194,0,2219,1169,5413,3194,1152
5858,5,1718,185,116,7569,665,2876,2019,11110,8234,1903
5861,5,1125,694,83,4715,3086,2415,1902,10216,7801,1819
5873,5,746,613,583,3061,2235,1826,1942,7122,5296,1359
5885,5,862,34,170,3047,86,3075,1066,6208,3133,896
5887,5,5601,995,309,26286,2707,6819,6905,35812,28993,6596
5890,5,1468,599,395,6081,1758,11072,2462,18911,7839,2067
5893,5,3206,799,273,9483,2601,5350,4278,17434,12084,4005
5895,5,1969,587,656,11067,2769,10166,3212,24002,13836,2556
8001,8,178328,0,99,1114140,0,735,178427,1114875,1114140,178328
8078,8,11506,1714,126,50827,8040,2036,13346,60903,58867,13220
8137,8,4184,446,25,19868,2355,476,4655,22699,22223,4630
8141,8,2249,801,50,11161,4076,353,3100,15590,15237,3050
8296,8,10512,58,63,52090,266,2629,10633,54985,52356,10570
8372,8,1771,229,12,12343,4524,1901,2012,18768,16867,2000
8421,8,2954,2990,41,13969,12833,741,5985,27543,26802,5944
8433,8,22162,940,126,112523,4269,2836,23228,119628,116792,23102
8436,8,3398,220,40,17342,1049,758,3658,19149,18391,3618
8520,8,4202,61,23,26191,216,623,4286,27030,26407,4263
8549,8,527,395,78,2708,1849,1079,1000,5636,4557,922
8558,8,2740,209,81,13284,1346,1316,3030,15946,14630,2949
8560,8,2541,1845,63,13510,8788,1083,4449,23381,22298,4386
8573,8,7151,1263,51,41882,4944,869,8465,47695,46826,8414
8606,8,4120,1600,57,17547,7292,585,5777,25424,24839,5720
8634,8,6001,0,25,30582,0,1360,6026,31942,30582,6001
8638,8,14892,4019,170,68587,19514,3820,19081,91921,88101,18911
8675,8,2240,221,29,10878,1382,297,2490,12557,12260,2461
8685,8,5628,0,21,27153,0,1241,5649,28394,27153,5628
8758,8,98762,0,59,534204,0,853,98821,535057,534204,98762
8770,8,1752,0,12,11166,0,432,1764,11598,11166,1752
8832,8,1092,1136,169,6351,3314,2794,2397,12459,9665,2228
8849,8,1650,0,13,8967,0,547,1663,9514,8967,1650
11001,11,982853,651,988,7130351,2523,12507,984492,7145381,7132874,983504
13001,13,145418,20276,1186,796672,80541,5921,166880,883134,877213,165694
13006,13,1313,1157,507,4458,5728,8662,2977,18848,10186,2470
13030,13,945,255,222,3703,1192,4114,1422,9009,4895,1200
13042,13,1229,507,70,4485,1585,1099,1806,7169,6070,1736
13052,13,12868,2534,150,53720,10757,2254,15552,66731,64477,15402
13062,13,802,568,171,4710,3019,329,1541,8058,7729,1370
13074,13,1339,669,917,5673,2657,6088,2925,14418,8330,2008
13140,13,2675,2017,39,12660,8389,336,4731,21385,21049,4692
13160,13,654,384,352,3710,1086,2064,1390,6860,4796,1038
13188,13,2188,826,13,8673,3967,463,3027,13103,12640,3014
13212,13,1053,2552,88,4155,9639,1167,3693,14961,13794,3605
13222,13,2620,266,69,11706,1095,1016,2955,13817,12801,2886
13244,13,11778,1342,459,49869,5941,11242,13579,67052,55810,13120
13248,13,1001,861,55,4090,3513,248,1917,7851,7603,1862
13268,13,650,622,99,2732,2937,1554,1371,7223,5669,1272
13300,13,754,1489,110,3136,7172,1445,2353,11753,10308,2243
13430,13,22094,9144,658,87563,34983,4750,31896,127296,122546,31238
13433,13,2311,2996,103,10261,13132,2268,5410,25661,23393,5307
13440,13,461,1190,123,1593,4969,3145,1774,9707,6562,1651
13442,13,4867,5102,196,20140,21484,3584,10165,45208,41624,9969
13458,13,925,592,1017,3663,2516,7246,2534,13425,6179,1517
13468,13,5950,3875,270,22243,16849,3991,10095,43083,39092,9825
13473,13,1499,1051,1166,5924,3618,9135,3716,18677,9542,2550
13490,13,413,293,382,2020,1167,4657,1088,7844,3187,706
13549,13,729,2348,331,3464,12524,7343,3408,23331,15988,3077
13580,13,707,452,69,3174,1626,508,1228,5308,4800,1159
13600,13,1161,410,235,4414,1400,2300,1806,8114,5814,1571
13620,13,1250,372,5,5633,1603,129,1627,7365,7236,1622
13647,13,2538,1029,181,11287,4668,486,3748,16441,15955,3567
13650,13,507,1197,146,1874,4805,3086,1850,9765,6679,1704
13654,13,4876,504,129,20602,1497,1113,5509,23212,22099,5380
13655,13,701,563,194,2311,2308,3447,1458,8066,4619,1264
13657,13,6402,1903,185,26383,7151,1830,8490,35364,33534,8305
13667,13,1797,1125,307,7022,4640,2818,3229,14480,11662,2922
13670,13,5129,789,711,18825,2527,3046,6629,24398,21352,5918
13673,13,1407,2158,111,5338,8054,635,3676,14027,13392,3565
13683,13,3098,0,64,17096,0,1276,3162,18372,17096,3098
13688,13,3486,827,837,16899,2949,7398,5150,27246,19848,4313
13744,13,1707,1653,415,5635,5606,4000,3775,15241,11241,3360
13760,13,2074,0,18,9057,0,118,2092,9175,9057,2074
13780,13,1435,1324,72,6045,5571,1201,2831,12817,11616,2759
13810,13,1350,917,499,6129,4510,7270,2766,17909,10639,2267
13836,13,17099,713,115,91551,3283,3078,17927,97912,94834,17812
13838,13,2597,565,42,12018,2291,1223,3204,15532,14309,3162
13873,13,4017,380,61,18574,1591,963,4458,21128,20165,4397
13894,13,2468,52,76,10259,218,574,2596,11051,10477,2520
15001,15,32987,0,159,159464,0,7286,33146,166750,159464,32987
15022,15,104,0,12,314,0,1267,116,1581,314,104
15047,15,1334,233,196,5761,687,7398,1763,13846,6448,1567
15051,15,550,0,28,2378,0,3066,578,5444,2378,550
15087,15,1240,0,36,4480,0,2835,1276,7315,4480,1240
15090,15,164,0,20,393,0,1049,184,1442,393,164
15092,15,101,11,24,299,84,1511,136,1894,383,112
15097,15,692,0,47,2260,0,2669,739,4929,2260,692
15104,15,222,0,24,672,0,3796,246,4468,672,222
15106,15,161,0,14,464,0,1570,175,2034,464,161
15109,15,195,0,32,703,0,3536,227,4239,703,195
15114,15,155,0,7,410,0,486,162,896,410,155
15131,15,100,83,14,234,238,2612,197,3084,472,183
15135,15,196,78,41,651,236,1817,315,2704,887,274
15162,15,479,0,13,1614,0,2021,492,3635,1614,479
15172,15,472,0,14,1150,0,1672,486,2822,1150,472
15176,15,9358,0,54,45768,0,5616,9412,51384,45768,9358
15180,15,360,85,59,847,164,2570,504,3581,1011,445
15183,15,608,0,230,1899,0,5831,838,7730,1899,608
15185,15,309,0,49,1074,0,3936,358,5010,1074,309
15187,15,113,0,16,470,0,2310,129,2780,470,113
15189,15,406,0,12,1207,0,3283,418,4490,1207,406
15204,15,345,22,44,1280,140,7917,411,9337,1420,367
15212,15,287,0,473,730,0,2289,760,3019,730,287
15215,15,452,0,12,1552,0,924,464,2476,1552,452
15218,15,166,4,23,461,18,2108,193,2587,479,170
15223,15,672,188,606,2124,568,2089,1466,4781,2692,860
15224,15,418,0,8,1454,0,1920,426,3374,1454,418
15226,15,111,34,10,250,90,1280,155,1620,340,145
15232,15,88,21,37,331,77,3939,146,4347,408,109
15236,15,164,0,36,614,0,1051,200,1665,614,164
15238,15,21352,660,108,103425,3077,10203,22120,116705,106502,22012
15244,15,683,0,23,2138,0,1794,706,3932,2138,683
15248,15,461,0,18,1227,0,1369,479,2596,1227,461
15272,15,718,0,34,2485,0,4035,752,6520,2485,718
15276,15,429,51,24,1138,135,1911,504,3184,1273,480
15293,15,198,0,24,555,0,2189,222,2744,555,198
15296,15,405,0,27,1321,0,3074,432,4395,1321,405
15299,15,3403,0,29,10798,0,3174,3432,13972,10798,3403
15317,15,232,0,12,594,0,1170,244,1764,594,232
15322,15,2108,0,10,6430,0,1588,2118,8018,6430,2108
15325,15,413,0,14,1004,0,2082,427,3086,1004,413
15332,15,439,0,50,1222,0,1917,489,3139,1222,439
15362,15,430,0,8,1159,0,785,438,1944,1159,430
15367,15,558,0,14,1684,0,4618,572,6302,1684,558
15368,15,318,30,28,988,155,2391,376,3534,1143,348
15377,15,348,0,38,1070,0,1998,386,3068,1070,348
15380,15,347,0,10,920,0,1364,357,2284,920,347
15401,15,122,0,86,328,0,627,208,955,328,122
15403,15,486,26,20,1211,71,1489,532,2771,1282,512
15407,15,1949,40,79,7850,74,6311,2068,14235,7924,1989
15425,15,289,52,50,982,115,2419,391,3516,1097,341
15442,15,164,122,97,699,425,4223,383,5347,1124,286
15455,15,1520,0,44,4889,0,3303,1564,8192,4889,1520
15464,15,645,0,47,1992,0,2308,692,4300,1992,645
15466,15,919,0,43,2326,0,1566,962,3892,2326,919
15469,15,2993,0,81,11012,0,9631,3074,20643,11012,2993
15476,15,172,0,18,715,0,4507,190,5222,715,172
15480,15,1229,0,112,5326,0,2627,1341,7953,5326,1229
15491,15,1316,1922,29,4936,6997,2713,3267,14646,11933,3238
15494,15,340,0,10,971,0,4019,350,4990,971,340
15500,15,131,0,19,400,0,2392,150,2792,400,131
15507,15,526,150,212,3348,468,3171,888,6987,3816,676
15511,15,191,0,8,494,0,1766,199,2260,494,191
15514,15,470,68,45,1246,180,1499,583,2925,1426,538
15516,15,5450,130,84,19314,393,11363,5664,31070,19707,5580
15518,15,251,143,35,909,373,645,429,1927,1282,394
15522,15,227,0,10,764,0,853,237,1617,764,227
15531,15,650,0,51,2029,0,4326,701,6355,2029,650
15533,15,142,28,295,443,95,1512,465,2050,538,170
15537,15,770,4,25,2636,15,1388,799,4039,2651,774
15542,15,114,0,37,2245,0,4359,151,6604,2245,114
15550,15,203,0,61,525,0,1051,264,1576,525,203
15572,15,9356,2760,735,31657,7126,5056,12851,43839,38783,12116
15580,15,392,27,77,1277,453,2455,496,4185,1730,419
15599,15,1284,105,23,3823,110,4754,1412,8687,3933,1389
15600,15,575,18,85,2214,70,5013,678,7297,2284,593
15621,15,198,27,40,570,71,1566,265,2207,641,225
15632,15,320,32,65,943,85,10125,417,11153,1028,352
15638,15,616,0,60,2445,0,2363,676,4808,2445,616
15646,15,1481,99,71,6948,367,10166,1651,17481,7315,1580
15660,15,305,0,14,675,0,879,319,1554,675,305
15664,15,275,0,30,946,0,3712,305,4658,946,275
15667,15,738,125,37,2122,471,1936,900,4529,2593,863
15673,15,486,0,21,1163,0,2143,507,3306,1163,486
15676,15,123,0,20,408,0,2489,143,2897,408,123
15681,15,28,172,55,681,1477,3648,255,5806,2158,200
15686,15,790,80,28,2368,289,4153,898,6810,2657,870
15690,15,653,0,36,1967,0,1122,689,3089,1967,653
15693,15,2343,5,30,6887,12,3933,2378,10832,6899,2348
15696,15,295,0,11,983,0,1936,306,2919,983,295
15720,15,427,18,30,659,20,1268,475,1947,679,445
15723,15,115,0,7,291,0,752,122,1043,291,115
15740,15,321,0,45,1114,0,5531,366,6645,1114,321
15753,15,1545,0,42,6148,0,2305,1587,8453,6148,1545
15755,15,374,11,76,1354,41,5723,461,7118,1395,385
15757,15,1115,33,30,4212,137,3138,1178,7487,4349,1148
15759,15,24587,428,132,106066,1456,11917,25147,119439,107522,25015
15761,15,263,0,13,597,0,1766,276,2363,597,263
15762,15,149,0,11,457,0,2129,160,2586,457,149
15763,15,260,97,68,831,462,6651,425,7944,1293,357
15764,15,343,0,24,1411,0,4441,367,5852,1411,343
15774,15,35,0,23,579,0,1976,58,2555,579,35
15776,15,531,0,28,2081,0,3672,559,5753,2081,531
15778,15,263,0,9,659,0,2819,272,3478,659,263
15790,15,506,80,40,1482,173,3483,626,5138,1655,586
15798,15,448,0,10,1046,0,2380,458,3426,1046,448
15804,15,549,0,25,1644,0,6291,574,7935,1644,549
15806,15,1128,161,46,4176,820,6011,1335,11007,4996,1289
15808,15,283,0,30,727,0,2140,313,2867,727,283
15810,15,185,7,10,908,37,2206,202,3151,945,192
15814,15,707,0,41,4202,0,4502,748,8704,4202,707
15816,15,176,0,25,607,0,3617,201,4224,607,176
15820,15,290,88,6,1008,424,2091,384,3523,1432,378
15822,15,289,0,50,769,0,3754,339,4523,769,289
15832,15,68,0,12,251,0,1267,80,1518,251,68
15835,15,658,0,14,2050,0,3781,672,5831,2050,658
15837,15,616,0,65,2300,0,5836,681,8136,2300,616
15839,15,24,9,15,169,118,1506,48,1793,287,33
15842,15,357,0,31,1012,0,5893,388,6905,1012,357
15861,15,453,324,34,2328,1212,10425,811,13965,3540,777
15879,15,236,0,13,413,0,2165,249,2578,413,236
15897,15,387,0,43,1058,0,3209,430,4267,1058,387
17001,17,66148,2601,618,370232,8402,15543,69367,394177,378634,68749
17013,17,2643,186,80,10234,1615,8663,2909,20512,11849,2829
17042,17,4499,187,201,18164,613,12512,4887,31289,18777,4686
17050,17,1212,55,31,6322,212,3300,1298,9834,6534,1267
17088,17,790,138,38,4271,669,4000,966,8940,4940,928
17174,17,9068,437,61,43005,1435,3841,9566,48281,44440,9505
17272,17,701,247,60,3449,1202,4928,1008,9579,4651,948
17380,17,19010,1543,398,61585,4233,3054,20951,68872,65818,20553
17388,17,93,63,33,1863,1357,2104,189,5324,3220,156
17433,17,1684,84,43,9253,629,6573,1811,16455,9882,1768
17442,17,228,775,21,950,3863,3611,1024,8424,4813,1003
17444,17,552,6,26,5659,89,6319,584,12067,5748,558
17446,17,311,219,33,676,446,959,563,2081,1122,530
17486,17,2602,551,209,11183,1361,7746,3362,20290,12544,3153
17495,17,1185,155,92,3943,435,1559,1432,5937,4378,1340
17513,17,1912,505,64,6351,1347,5315,2481,13013,7698,2417
17524,17,1411,1015,51,4655,5143,3682,2477,13480,9798,2426
17541,17,1773,932,100,6556,2473,8020,2805,17049,9029,2705
17614,17,3651,1273,335,17121,8230,22515,5259,47866,25351,4924
17616,17,1145,126,53,3808,558,5467,1324,9833,4366,1271
17653,17,2499,465,114,10349,1054,4997,3078,16400,11403,2964
17662,17,1145,942,169,5209,3216,8946,2256,17371,8425,2087
17665,17,359,119,71,1200,124,3190,549,4514,1324,478
17777,17,2889,273,104,12849,1236,12365,3266,26450,14085,3162
17867,17,1373,351,162,3962,1022,3158,1886,8142,4984,1724
17873,17,10997,919,285,54176,3153,5203,12201,62532,57329,11916
17877,17,2869,0,26,10655,0,1761,2895,12416,10655,2869
18001,18,43462,610,2028,138269,1590,12333,46100,152192,139859,44072
18029,18,781,120,82,1976,273,2049,983,4298,2249,901
18094,18,1347,59,148,5680,345,2690,1554,8715,6025,1406
18150,18,3973,471,2374,14967,1223,10648,6818,26838,16190,4444
18205,18,1717,86,92,5202,216,1949,1895,7367,5418,1803
18247,18,3989,424,299,12455,1039,4059,4712,17553,13494,4413
18256,18,2169,154,420,7610,495,4568,2743,12673,8105,2323
18410,18,727,875,868,2284,2332,6797,2470,11413,4616,1602
18460,18,320,776,225,945,1548,2632,1321,5125,2493,1096
18479,18,414,0,64,1834,0,1510,478,3344,1834,414
18592,18,4086,226,1107,14192,734,8604,5419,23530,14926,4312
18610,18,1700,868,511,6076,2084,2777,3079,10937,8160,2568
18753,18,5921,758,3104,21206,2653,16775,9783,40634,23859,6679
18756,18,956,228,1056,2699,827,5888,2240,9414,3526,1184
18785,18,1205,70,429,3178,141,1904,1704,5223,3319,1275
18860,18,758,190,158,2197,428,3038,1106,5663,2625,948
19001,19,65312,3931,1613,228339,17625,25243,70856,271207,245964,69243
19022,19,557,457,198,1201,1084,14214,1212,16499,2285,1014
19050,19,497,610,339,2352,3770,13613,1446,19735,6122,1107
19075,19,1300,540,254,5212,2357,11306,2094,18875,7569,1840
19100,19,1561,1340,383,4515,3610,27437,3284,35562,8125,2901
19110,19,298,1267,576,1134,6532,14264,2141,21930,7666,1565
19130,19,672,476,480,1952,1613,28602,1628,32167,3565,1148
19137,19,391,315,262,1371,1627,12553,968,15551,2998,706
19142,19,1523,1012,447,4962,4030,7138,2982,16130,8992,2535
19212,19,3670,212,189,12493,701,7710,4071,20904,13194,3882
19256,19,494,746,1112,2536,3219,29235,2352,34990,5755,1240
19290,19,349,57,12,1180,431,3476,418,5087,1611,406
19300,19,1626,2272,121,5962,10442,2076,4019,18480,16404,3898
19318,19,3406,206,1957,13401,748,9326,5569,23475,14149,3612
19355,19,333,635,680,1193,3550,21590,1648,26333,4743,968
19364,19,302,0,122,1069,0,4288,424,5357,1069,302
19392,19,612,97,158,1614,409,7853,867,9876,2023,709
19397,19,423,1330,220,1026,3656,14983,1973,19665,4682,1753
