cod,mpio_name,ADO|EU/LWAL+DNO,CR+PC/LWAL+DUL,CR/LFINF+DUH,CR/LFINF+DUL,CR/LFINF+DUM,CR/LWAL+DUH,CR/LWAL+DUL,CR/LWAL+DUM,MATO/LN,MCF/LWAL+DUH,MCF/LWAL+DUL,MCF/LWAL+DUM,MR/LWAL+DUH,MR/LWAL+DUL,MR/LWAL+DUM,MUR+ST/LWAL+DNO,MUR/LWAL+DNO,UNK,W+WO/LN+DNO
5001,Medellin,,,,,,,,,,,,,,,,,238810,,
5002,Abejorral,1340,13,0,0,0,0,10,0,2,0,71,0,0,0,0,25,627,435,7
5004,Abriaqui,24,6,0,0,0,0,4,0,0,0,21,0,0,0,0,9,169,71,1
5021,Alejandria,26,0,0,0,0,0,1,0,0,0,34,0,0,0,0,19,452,125,3
5030,Amaga,895,34,0,212,0,0,70,0,8,0,530,0,0,0,0,33,2582,622,38
5031,Amalfi,125,4,0,0,0,0,3,0,1,0,167,0,0,0,0,101,2325,786,82
5034,Andes,299,7,0,246,0,0,38,0,3,0,473,0,0,0,0,17,2435,254,27
5036,Angelopolis,192,6,0,0,0,0,4,0,1,0,43,0,0,0,0,24,512,113,9
5038,Angostura,304,3,0,0,0,0,6,0,0,0,39,0,0,0,0,14,331,157,5
5040,Anori,65,34,0,0,0,0,3,0,6,0,91,0,0,0,0,58,1241,243,126
5042,Santafe de Antioquia,1056,30,0,0,0,0,27,0,6,0,209,0,0,0,0,86,2054,1057,37
5044,Anza,37,4,0,0,0,0,2,0,0,0,34,0,0,0,0,19,427,90,4
5045,Apartado,19,34,852,3405,0,253,0,0,30,2706,1222,0,0,0,0,243,9586,1428,1713
5051,Arboletes,6,8,0,0,0,0,4,0,5,0,111,0,0,0,0,97,1688,436,965
5055,Argelia,17,2,0,0,0,0,3,0,1,0,41,0,0,0,0,24,491,170,13
5059,Armenia,29,3,0,0,0,0,1,0,0,0,25,0,0,0,0,15,327,114,1
5079,Barbosa,64,6,0,193,0,0,92,0,2,0,429,0,0,0,0,10,1688,94,33
5086,Belmira,142,3,0,0,0,0,1,0,1,0,26,0,0,0,0,14,323,98,1
5088,Bello,201,231,0,17896,3355,0,0,4976,25,0,2817,5091,0,0,1194,199,18158,2450,1569
5091,Betania,272,6,0,0,0,0,3,0,0,0,23,0,0,0,0,8,209,42,2
5093,Betulia,293,9,0,0,0,0,11,0,0,0,75,0,0,0,0,33,735,181,8
5101,Ciudad Bolivar,963,11,0,0,0,0,15,0,1,0,174,0,0,0,0,73,1895,377,4
5107,Briceno,43,1,0,0,0,0,4,0,2,0,41,0,0,0,0,21,472,118,6
5113,Buritica,270,4,0,0,0,0,3,0,0,0,20,0,0,0,0,7,193,77,12
5120,Caceres,9,8,0,0,0,0,5,0,103,0,163,0,0,0,0,166,2690,814,792
5125,Caicedo,216,4,0,0,0,0,3,0,1,0,16,0,0,0,0,6,145,78,5
5129,Caldas,560,75,529,2823,0,318,0,0,12,873,635,0,183,0,0,50,2873,383,94
5134,Campamento,200,1,0,0,0,0,3,0,1,0,32,0,0,0,0,16,357,115,2
5138,Canasgordas,83,2,0,0,0,0,4,0,4,0,63,0,0,0,0,39,824,193,7
5142,Caracoli,6,0,0,0,0,0,18,0,0,0,68,0,0,0,0,18,374,47,5
5145,Caramanta,374,13,0,0,0,0,6,0,1,0,30,0,0,0,0,12,239,169,2
5147,Carepa,8,14,0,367,0,0,86,0,12,0,1129,0,0,0,0,114,6262,1142,1025
5148,El Carmen de Viboral,99,10,0,325,0,0,27,0,0,0,839,0,0,0,0,13,4569,542,4
5150,Carolina,415,3,0,0,0,0,5,0,1,0,37,0,0,0,0,15,373,209,1
5154,Caucasia,15,28,0,1650,412,0,0,398,138,0,549,2354,0,0,0,231,9168,2225,2106
5172,Chigorodo,28,48,272,1089,0,110,0,0,16,1740,718,0,0,0,0,224,6218,1175,780
5190,Cisneros,247,3,0,0,0,0,7,0,1,0,82,0,0,0,0,37,901,173,10
5197,Cocorna,15,0,0,0,0,0,93,0,0,0,294,0,0,0,0,48,1112,482,3
5206,Concepcion,221,1,0,0,0,0,0,0,0,0,21,0,0,0,0,10,261,207,1
5209,Concordia,233,13,0,0,0,0,3,0,4,0,97,0,0,0,0,61,1328,191,16
5212,Copacabana,830,41,0,1886,354,0,0,142,0,0,450,885,0,0,123,13,3118,177,8
5234,Dabeiba,67,14,0,0,0,0,3,0,7,0,123,0,0,0,0,97,1880,268,154
5237,Don Matias,43,6,0,0,0,0,30,0,0,0,181,0,0,0,0,50,1392,169,0
5240,Ebejico,185,0,0,0,0,0,3,0,0,0,41,0,0,0,0,21,508,131,2
5250,El Bagre,10,16,0,181,0,0,17,0,350,0,967,0,0,0,0,164,6146,2588,1209
5264,Entrerrios,64,2,0,0,0,0,3,0,0,0,66,0,0,0,0,28,764,75,2
5266,Envigado,65,54,0,4434,831,0,0,1134,0,0,1193,2120,0,0,321,9,7547,799,5
5282,Fredonia,399,12,0,0,0,0,3,0,3,0,104,0,0,0,0,49,1291,246,9
5284,Frontino,114,8,0,0,0,0,6,0,1,0,147,0,0,0,0,95,2029,349,51
5306,Giraldo,6,0,0,0,0,0,0,0,0,0,10,0,0,0,0,8,147,34,1
5308,Girardota,39,16,0,289,0,0,10,0,0,0,430,0,0,0,0,7,2367,132,1
5310,Gomez Plata,392,4,0,0,0,0,4,0,0,0,65,0,0,0,0,33,801,382,2
5313,Granada,6,1,0,0,0,0,2,0,0,0,47,0,0,0,0,22,592,193,34
5315,Guadalupe,243,2,0,0,0,0,1,0,1,0,22,0,0,0,0,13,300,96,2
5318,Guarne,35,27,0,0,0,0,33,0,1,0,263,0,0,0,0,84,2398,230,12
5321,Guatape,21,4,0,0,0,0,67,0,0,0,220,0,0,0,0,29,820,266,0
5347,Heliconia,433,2,0,0,0,0,1,0,2,0,27,0,0,0,0,18,365,264,4
5353,Hispania,7,1,0,0,0,0,1,0,0,0,42,0,0,0,0,21,552,71,0
5360,Itagui,467,54,0,12063,2263,0,0,1061,4,0,1331,2473,0,0,796,41,8782,871,152
5361,Ituango,696,3,0,0,0,0,13,0,13,0,99,0,0,0,0,53,1068,608,55
5364,Jardin,30,2,0,0,0,0,127,0,2,0,382,0,0,0,0,44,1162,312,11
5368,Jerico,237,22,0,0,0,0,6,0,1,0,102,0,0,0,0,51,1225,206,3
5376,La Ceja,250,14,0,725,181,0,0,606,1,0,528,1526,0,0,0,14,5723,1105,5
5380,La Estrella,377,44,0,1462,366,0,0,234,2,0,363,1220,0,0,0,16,4573,343,27
5390,La Pintada,5,6,0,0,0,0,18,0,12,0,123,0,0,0,0,58,1246,221,19
5400,La Union,39,7,0,0,0,0,174,0,0,0,527,0,0,0,0,71,1705,139,2
5411,Liborina,261,4,0,0,0,0,9,0,0,0,68,0,0,0,0,31,697,478,0
5425,Maceo,87,4,0,0,0,0,40,0,0,0,127,0,0,0,0,26,538,142,21
5440,Marinilla,161,8,0,880,166,0,0,1296,3,0,361,557,0,0,57,6,1961,309,8
5467,Montebello,59,1,0,0,0,0,0,0,1,0,26,0,0,0,0,15,340,114,3
5475,Murindo,3,4,0,0,0,0,0,0,1,0,3,0,0,0,0,1,21,63,447
5480,Mutata,3,26,0,0,0,0,3,0,10,0,71,0,0,0,0,55,1048,523,744
5483,Narino,2,3,0,0,0,0,8,0,1,0,61,0,0,0,0,33,666,169,2
5490,Necocli,15,18,0,79,0,0,34,0,59,0,419,0,0,0,0,65,2384,1286,1554
5495,Nechi,32,47,0,0,0,0,3,0,97,0,110,0,0,0,0,126,1830,607,918
5501,Olaya,88,3,0,0,0,0,13,0,1,0,41,0,0,0,0,6,146,135,10
5541,Penol,76,4,0,0,0,0,35,0,1,0,218,0,0,0,0,73,1841,268,6
5543,Peque,56,3,0,0,0,0,3,0,0,0,36,0,0,0,0,25,486,148,4
5576,Pueblorrico,56,0,0,0,0,0,3,0,3,0,64,0,0,0,0,34,819,150,6
5579,Puerto Berrio,18,15,0,140,0,0,50,0,18,0,902,0,0,0,0,70,5048,1069,1096
5585,Puerto Nare,2,41,0,0,0,0,3,0,8,0,158,0,0,0,0,121,2410,644,208
5591,Puerto Triunfo,3,54,0,0,0,0,19,0,9,0,226,0,0,0,0,122,2701,487,165
5604,Remedios,19,7,0,0,0,0,3,0,19,0,205,0,0,0,0,134,2830,750,382
5607,Retiro,20,4,0,0,0,0,9,0,0,0,187,0,0,0,0,67,1863,377,6
5615,Rionegro,676,45,0,1246,312,0,0,278,2,0,651,2262,0,0,0,11,8482,1389,14
5628,Sabanalarga,246,1,0,0,0,0,1,0,0,0,25,0,0,0,0,19,378,233,1
5631,Sabaneta,10,20,0,1960,368,0,0,312,2,0,378,695,0,0,133,4,2457,262,2
5642,Salgar,64,1,0,0,0,0,59,0,1,0,207,0,0,0,0,42,993,115,7
5647,San Andres de Cuerquia,38,0,0,0,0,0,0,0,2,0,40,0,0,0,0,30,611,166,4
5649,San Carlos,20,3,0,0,0,0,5,0,1,0,111,0,0,0,0,58,1402,345,17
5652,San Francisco,6,2,0,0,0,0,44,0,0,0,138,0,0,0,0,28,569,395,30
5656,San Jeronimo,91,9,0,0,0,0,5,0,1,0,70,0,0,0,0,30,785,1177,2
5658,San Jose de La Montana,155,0,0,0,0,0,2,0,0,0,24,0,0,0,0,13,302,115,0
5659,San Juan de Uraba,4,4,0,0,0,0,1,0,14,0,86,0,0,0,0,81,1382,421,899
5660,San Luis,3,2,0,0,0,0,3,0,1,0,105,0,0,0,0,59,1394,248,4
5664,San Pedro,130,13,0,0,0,0,11,0,0,0,130,0,0,0,0,49,1350,163,2
5665,San Pedro de Uraba,10,3,0,0,0,0,4,0,12,0,143,0,0,0,0,153,2334,625,694
5667,San Rafael,40,1,0,0,0,0,10,0,0,0,122,0,0,0,0,58,1397,265,9
5670,San Roque,540,5,0,0,0,0,7,0,1,0,124,0,0,0,0,71,1575,490,28
5674,San Vicente,131,4,0,0,0,0,1,0,0,0,36,0,0,0,0,16,432,71,7
5679,Santa Barbara,721,29,0,0,0,0,3,0,2,0,107,0,0,0,0,52,1347,347,6
5686,Santa Rosa de Osos,263,20,0,0,0,0,17,0,0,0,155,0,0,0,0,61,1561,457,2
5690,Santo Domingo,421,3,0,0,0,0,4,0,3,0,54,0,0,0,0,30,669,354,2
5697,El Santuario,32,11,0,135,0,0,19,0,0,0,433,0,0,0,0,4,2283,367,0
5736,Segovia,170,33,0,181,0,0,67,0,40,0,806,0,0,0,0,71,4208,1073,692
5756,Sonson,1401,18,0,0,0,0,12,0,1,0,242,0,0,0,0,136,3083,719,60
5761,Sopetran,212,13,0,0,0,0,42,0,0,0,181,0,0,0,0,48,1157,542,2
5789,Tamesis,371,2,0,0,0,0,7,0,0,0,128,0,0,0,0,61,1522,305,8
5790,Taraza,37,21,0,0,0,0,4,0,55,0,194,0,0,0,0,157,2998,1650,736
5792,Tarso,3,2,0,0,0,0,1,0,1,0,28,0,0,0,0,18,383,28,2
5809,Titiribi,239,11,0,0,0,0,5,0,1,0,63,0,0,0,0,31,733,258,2
5819,Toledo,112,3,0,0,0,0,2,0,2,0,24,0,0,0,0,13,306,148,5
5837,Turbo,36,69,334,1334,0,300,0,0,38,2423,1044,0,0,0,0,373,8973,4115,5355
5842,Uramita,80,1,0,0,0,0,0,0,1,0,22,0,0,0,0,15,317,70,5
5847,Urrao,70,7,0,0,0,0,8,0,5,0,238,0,0,0,0,136,3140,642,97
5854,Valdivia,3,1,0,0,0,0,3,0,3,0,47,0,0,0,0,29,625,200,41
5856,Valparaiso,243,2,0,0,0,0,33,0,0,0,116,0,0,0,0,25,560,171,2
5858,Vegachi,16,4,0,0,0,0,3,0,0,0,104,0,0,0,0,71,1501,171,33
5861,Venecia,240,2,0,0,0,0,6,0,0,0,97,0,0,0,0,50,1183,235,6
5873,Vigia del Fuerte,6,0,0,0,0,0,0,0,3,0,3,0,0,0,0,3,41,233,1070
5885,Yali,267,1,0,0,0,0,1,0,0,0,33,0,0,0,0,23,458,106,7
5887,Yarumal,576,90,0,288,0,0,144,0,2,0,856,0,0,0,0,36,3765,799,40
5890,Yolombo,398,10,0,0,0,0,3,0,0,0,86,0,0,0,0,49,1131,345,45
5893,Yondo,4,24,0,0,0,0,3,0,7,0,133,0,0,0,0,104,2020,870,840
5895,Zaragoza,6,11,0,0,0,0,25,0,24,0,148,0,0,0,0,81,1496,412,353
8001,Barranquilla,47,1104,0,33811,5811,0,6575,0,105,0,11200,22055,0,0,2931,840,78843,12446,2560
8078,Baranoa,14,67,0,886,222,0,0,143,302,0,444,2051,0,0,0,149,7839,974,129
8137,Campo de La Cruz,66,35,0,35,0,0,6,0,44,0,542,0,0,0,0,89,3441,354,18
8141,Candelaria,21,40,0,0,0,0,0,0,8,0,156,0,0,0,0,137,2523,159,6
8296,Galapa,4,19,0,762,190,0,0,240,9,0,440,1663,0,0,0,72,6283,602,286
8372,Juan de Acosta,5,1,0,0,0,0,6,0,2,0,122,0,0,0,0,82,1651,129,2
8421,Luruaco,387,138,0,84,0,0,4,0,127,0,623,0,0,0,0,103,3997,433,48
8433,Malambo,26,75,0,1902,476,0,0,108,21,0,831,3586,0,0,0,186,13620,1960,311
8436,Manati,9,0,0,0,0,0,53,0,12,0,297,0,0,0,0,153,2843,249,2
8520,Palmar de Varela,1,0,0,24,0,0,2,0,25,0,544,0,0,0,0,55,3323,138,151
8549,Piojo,16,1,0,0,0,0,0,0,6,0,44,0,0,0,0,40,734,76,5
8558,Polonuevo,0,0,0,0,0,0,1,0,31,0,163,0,0,0,0,123,2501,130,0
8560,Ponedera,21,1,0,12,0,0,4,0,45,0,513,0,0,0,0,84,3284,236,186
8573,Puerto Colombia,7,46,0,746,186,0,0,57,11,0,307,1247,0,0,0,43,4727,752,285
8606,Repelon,500,4,0,18,0,0,4,0,9,0,635,0,0,0,0,91,4019,400,40
8634,Sabanagrande,0,5,0,212,0,0,2,0,7,0,752,0,0,0,0,65,4554,252,152
8638,Sabanalarga,165,56,0,588,147,0,0,43,99,0,650,3163,0,0,0,227,12089,1187,497
8675,Santa Lucia,18,125,0,0,0,0,1,0,52,0,116,0,0,0,0,112,1923,114,0
8685,Santo Tomas,1,11,0,124,0,0,6,0,21,0,710,0,0,0,0,56,4256,328,115
8758,Soledad,10,320,0,12837,2406,0,0,1346,22,0,7296,15088,0,0,879,558,53445,4308,247
8770,Suan,1,3,0,0,0,0,2,0,1,0,96,0,0,0,0,77,1491,81,0
8832,Tubara,69,4,0,0,0,0,2,0,5,0,97,0,0,0,0,75,1475,470,31
8849,Usiacuri,3,0,0,0,0,0,2,0,31,0,91,0,0,0,0,66,1363,92,2
11001,Bogota,,,,,,,,,,,,,,,,,256631,,
13001,Cartagena,468,1162,0,29613,5091,0,5375,0,325,0,9283,18756,0,0,2568,1206,68071,13703,10073
13006,Achi,51,4,0,0,0,0,2,0,18,0,62,0,0,0,0,114,1240,326,653
13030,Altos del Rosario,7,5,0,0,0,0,1,0,33,0,36,0,0,0,0,55,677,139,247
13042,Arenal,26,6,0,0,0,0,1,0,18,0,67,0,0,0,0,73,1148,285,112
13052,Arjona,663,83,0,424,106,0,0,469,312,0,500,2075,0,0,0,270,8305,1620,575
13062,Arroyohondo,202,33,0,0,0,0,0,0,8,0,56,0,0,0,0,55,927,71,18
13074,Barranco de Loba,51,1,0,0,0,0,1,0,36,0,70,0,0,0,0,103,1317,285,144
13140,Calamar,243,108,0,64,0,0,0,0,42,0,480,0,0,0,0,113,3240,354,48
13160,Cantagallo,0,0,0,0,0,0,1,0,6,0,38,0,0,0,0,33,593,195,172
13188,Cicuco,228,38,0,0,0,0,2,0,51,0,104,0,0,0,0,153,1950,363,125
13212,Cordoba,872,29,0,0,0,0,3,0,13,0,114,0,0,0,0,136,1941,447,50
13222,Clemencia,304,5,0,0,0,0,2,0,87,0,103,0,0,0,0,105,1694,251,335
13244,El Carmen de Bolivar,3020,11,0,341,85,0,0,23,282,0,316,1499,0,0,0,182,6028,1025,308
13248,El Guamo,600,1,0,0,0,0,1,0,17,0,50,0,0,0,0,72,928,186,7
13268,El Penon,20,1,0,0,0,0,0,0,14,0,40,0,0,0,0,56,741,172,228
13300,Hatillo de Loba,73,3,0,0,0,0,0,0,55,0,68,0,0,0,0,105,1318,271,350
13430,Magangue,794,573,0,834,208,0,0,371,808,0,846,3981,0,0,0,758,16958,2728,2379
13433,Mahates,744,24,0,35,0,0,3,0,102,0,508,0,0,0,0,84,3260,416,131
13440,Margarita,166,84,0,0,0,0,8,0,8,0,64,0,0,0,0,93,988,180,60
13442,Maria La Baja,121,200,0,84,22,0,0,16,986,0,229,1181,0,0,0,336,5450,663,681
13458,Montecristo,2,0,0,0,0,0,0,0,8,0,35,0,0,0,0,53,675,191,553
13468,Mompos,333,255,0,62,0,0,75,0,127,0,911,0,0,0,0,347,6021,1235,459
13473,Morales,24,21,0,0,0,0,0,0,17,0,74,0,0,0,0,130,1465,259,560
13490,Norosi,2,3,0,0,0,0,0,0,10,0,18,0,0,0,0,22,320,53,278
13549,Pinillos,21,49,0,0,0,0,2,0,155,0,64,0,0,0,0,218,1648,262,658
13580,Regidor,2,20,0,0,0,0,1,0,8,0,37,0,0,0,0,44,649,165,233
13600,Rio Viejo ,36,6,0,0,0,0,0,0,18,0,53,0,0,0,0,56,913,182,307
13620,San Cristobal,2,2,0,0,0,0,9,0,16,0,91,0,0,0,0,88,1296,117,1
13647,San Estanislao,344,38,0,0,0,0,1,0,54,0,150,0,0,0,0,167,2575,209,29
13650,San Fernando,202,109,0,0,0,0,0,0,2,0,46,0,0,0,0,84,940,228,93
13654,San Jacinto,926,12,0,35,0,0,4,0,93,0,500,0,0,0,0,103,3286,341,80
13655,San Jacinto del Cauca,13,1,0,0,0,0,0,0,50,0,27,0,0,0,0,57,573,231,312
13657,San Juan Nepomuceno,349,13,0,60,0,0,11,0,129,0,908,0,0,0,0,152,5797,752,134
13667,San Martin de Loba,83,11,0,0,0,0,2,0,45,0,97,0,0,0,0,112,1697,346,529
13670,San Pablo,6,31,0,35,0,0,2,0,35,0,460,0,0,0,0,115,3117,1000,1117
13673,Santa Catalina,111,6,0,0,0,0,2,0,48,0,163,0,0,0,0,129,2518,348,240
13683,Santa Rosa,2,192,0,0,0,0,1,0,3,0,111,0,0,0,0,80,1634,115,960
13688,Santa Rosa del Sur,21,9,0,0,0,0,3,0,10,0,204,0,0,0,0,164,3130,479,293
13744,Simiti,25,5,0,0,0,0,4,0,22,0,128,0,0,0,0,122,2031,593,430
13760,Soplaviento,216,26,0,0,0,0,1,0,4,0,91,0,0,0,0,88,1511,122,15
13780,Talaigua Nuevo,262,118,0,0,0,0,0,0,7,0,99,0,0,0,0,147,1878,229,19
13810,Tiquisio,11,77,0,0,0,0,0,0,18,0,57,0,0,0,0,73,1033,339,659
13836,Turbaco,23,23,0,1202,300,0,0,102,53,0,658,2776,0,0,0,93,10500,1805,277
13838,Turbana,121,3,0,0,0,0,1,0,41,0,158,0,0,0,0,106,2314,161,257
13873,Villanueva,151,10,0,32,0,0,3,0,39,0,365,0,0,0,0,67,2352,190,1188
13894,Zambrano,153,5,0,0,0,0,1,0,122,0,103,0,0,0,0,107,1731,252,46
15001,Tunja,276,370,892,3568,0,712,0,0,7,4772,2567,0,0,0,0,105,16859,2842,17
15022,Almeida,7,3,0,0,0,0,0,0,0,0,5,0,0,0,0,3,65,20,1
15047,Aquitania,44,8,0,0,0,0,3,0,1,0,87,0,0,0,0,50,1129,238,7
15051,Arcabuco,3,9,0,0,0,0,6,0,2,0,47,0,0,0,0,15,411,57,0
15087,Belen,60,1,0,0,0,0,1,0,1,0,70,0,0,0,0,36,925,146,0
15090,Berbeo,23,2,0,0,0,0,1,0,0,0,7,0,0,0,0,4,88,36,3
15092,Beteitiva,19,0,0,0,0,0,0,0,0,0,4,0,0,0,0,3,60,26,0
15097,Boavita,115,0,0,0,0,0,1,0,0,0,33,0,0,0,0,19,435,89,0
15104,Boyaca,9,2,0,0,0,0,0,0,0,0,14,0,0,0,0,7,166,24,0
15106,Briceno,1,0,0,0,0,0,0,0,0,0,9,0,0,0,0,5,111,35,0
15109,Buenavista,6,0,0,0,0,0,0,0,0,0,11,0,0,0,0,7,151,20,0
15114,Busbanza,14,0,0,0,0,0,2,0,0,0,7,0,0,0,0,3,77,52,0
15131,Caldas,10,0,0,0,0,0,0,0,0,0,7,0,0,0,0,6,115,44,1
15135,Campohermoso,38,6,0,0,0,0,0,0,0,0,10,0,0,0,0,8,151,59,2
15162,Cerinza,8,1,0,0,0,0,0,0,0,0,27,0,0,0,0,15,356,71,1
15172,Chinavita,12,1,0,0,0,0,0,0,0,0,23,0,0,0,0,14,311,111,0
15176,Chiquinquira,63,54,0,1246,312,0,0,72,4,0,332,1297,0,0,0,52,4986,909,31
15180,Chiscas,127,2,0,0,0,0,0,0,0,0,12,0,0,0,0,8,159,137,0
15183,Chita,113,5,0,0,0,0,1,0,0,0,20,0,0,0,0,15,271,177,6
15185,Chitaraque,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,9,232,51,0
15187,Chivata,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,3,88,9,1
15189,Cienega,11,1,0,0,0,0,0,0,0,0,20,0,0,0,0,10,270,94,0
15204,Combita,13,1,0,0,0,0,0,0,0,0,21,0,0,0,0,12,284,36,0
15212,Coper,2,7,0,0,0,0,9,0,0,0,31,0,0,0,0,9,180,48,1
15215,Corrales,150,1,0,0,0,0,0,0,0,0,16,0,0,0,0,10,223,52,0
